Circadian circling (1),Circadian speed (1),Circadian nBouts (1),Circadian bout length (1),Circadian bout clumpiness (1),Circadian circling (2),Circadian speed (2),Circadian nBouts (2),Circadian bout length (2),Circadian bout clumpiness (2),Slow Phototaxis circling,Slow Phototaxis nTrials,Slow Phototaxis occupancy,Slow Phototaxis speed,Slow Phototaxis nBouts,Slow Phototaxis bout length,Slow Phototaxis bout clumpiness,Circadian circling (3),Circadian speed (3),Circadian nBouts (3),Circadian bout length (3),Circadian bout clumpiness (3),Arena circling,Arena speed,Arena nBouts,Arena bout length,Arena bout clumpiness,Circadian circling (4),Circadian speed (4),Circadian nBouts (4),Circadian bout length (4),Circadian bout clumpiness (4),Circadian circling (5),Circadian speed (5),Circadian nBouts (5),Circadian bout length (5),Circadian bout clumpiness (5),Optomotor circling,Optomotor optomotor index,Optomotor speed,Optomotor nTrials,Optomotor nBouts,Optomotor bout length,Optomotor bout clumpiness,Circadian circling (6),Circadian speed (6),Circadian nBouts (6),Circadian bout length (6),Circadian bout clumpiness (6),Y-Maze circling,Y-Maze right bias,Y-Maze nTrials,Y-Maze hand clumpiness,Y-Maze hand switchiness,Y-Maze speed,Y-Maze nBouts,Y-Maze bout length,Y-Maze bout clumpiness,Circadian circling (7),Circadian speed (7),Circadian nBouts (7),Circadian bout length (7),Circadian bout clumpiness (7),Olfaction occupancy,Olfaction preodor occupancy,Olfaction right bias,Olfaction hand clumpiness,Olfaction hand switchiness,Olfaction nTrials,Olfaction speed,Circadian circling (8),Circadian speed (8),Circadian nBouts (8),Circadian bout length (8),Circadian bout clumpiness (8),Circadian circling (9),Circadian speed (9),Circadian nBouts (9),Circadian bout length (9),Circadian bout clumpiness (9),LED Y-Maze circling,LED Y-Maze right bias,LED Y-Maze light bias,LED Y-Maze nTrials,LED Y-Maze hand clumpiness,LED Y-Maze hand switchiness,LED Y-Maze light switchiness,LED Y-Maze speed,LED Y-Maze nBouts,LED Y-Maze bout length,LED Y-Maze bout clumpiness,Circadian circling (10),Circadian speed (10),Circadian nBouts (10),Circadian bout length (10),Circadian bout clumpiness (10)
-0.0636,0.0562,1476.0000,14.0047,5.5769,-0.3452,0.0698,1585.0000,12.1338,3.7161,0.0610,27.0000,0.5460,0.3146,1445.0000,21.9349,0.7740,-0.1380,0.0981,1355.0000,14.1122,4.8452,0.1392,0.3804,1254.0000,24.7799,0.8635,-0.2646,0.0741,1220.0000,13.9820,4.6281,0.2875,0.0308,986.0000,12.5639,4.1989,0.1137,0.5495,0.1094,550.0000,5496.0000,19.5342,1.1204,NaN,NaN,NaN,NaN,NaN,-0.0018,0.5504,497.0000,0.5356,1.0042,0.3217,1248.0000,31.3165,0.3421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
0.3137,0.0332,1406.0000,11.0114,4.1244,0.0853,0.0809,2245.0000,12.6726,4.7891,-0.0693,27.0000,0.5665,0.4149,1444.0000,26.7244,0.2673,0.0345,0.1024,1928.0000,12.4834,4.9497,-0.1179,0.4550,1555.0000,21.3010,0.5772,-0.5084,0.1531,2809.0000,12.4845,6.6890,0.0290,0.0318,1569.0000,11.2855,4.6443,-0.2784,0.7062,0.0955,480.0000,5722.0000,17.4729,1.8996,-0.7001,0.1356,2047.0000,13.9560,4.4277,-0.0714,0.4105,498.0000,0.5863,1.0331,0.3223,1337.0000,28.6013,0.2951,-0.2652,0.0342,1454.0000,10.6032,5.5160,0.6632,0.3238,0.5533,0.9150,1.1059,150.0000,2.5668,-0.7718,0.0460,975.0000,11.9764,2.6088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
NaN,NaN,NaN,NaN,NaN,0.1663,0.0547,969.0000,19.3643,4.5588,0.0772,27.0000,0.8828,0.2450,1744.0000,18.5946,0.6644,0.1108,0.0218,933.0000,9.4684,4.4021,0.0177,0.2487,1548.0000,18.8908,1.5693,0.5273,0.0241,901.0000,12.7081,6.0588,NaN,NaN,NaN,NaN,NaN,-0.0406,0.5470,0.1114,530.0000,5628.0000,21.2489,1.6133,-0.2888,0.0336,1040.0000,11.6981,4.1028,0.1261,0.5231,261.0000,0.8281,1.0828,0.2140,1556.0000,22.8406,0.5577,0.0385,0.0191,839.0000,10.7974,4.2715,0.5818,0.4216,0.5230,1.2783,1.4283,174.0000,2.9350,0.1935,0.0373,1795.0000,9.3036,4.4008,NaN,NaN,NaN,NaN,NaN,0.0152,0.4422,0.8669,555.0000,0.8501,0.9533,0.9821,0.3160,1256.0000,30.8201,0.3458,NaN,NaN,NaN,NaN,Na
0.0939,0.0424,1356.0000,16.6556,5.7440,0.4347,0.1247,1656.0000,21.3140,5.2132,0.3791,27.0000,0.4992,0.3763,1501.0000,22.8448,0.4933,0.5124,0.0709,1285.0000,15.8568,4.2479,0.3540,0.3999,1806.0000,17.7907,0.5048,0.0383,0.0304,1357.0000,11.2071,4.7704,-0.1393,0.0282,1530.0000,12.4307,6.3530,0.3885,0.6161,0.0798,471.0000,6005.0000,13.9304,1.5072,NaN,NaN,NaN,NaN,NaN,0.0146,0.6835,456.0000,0.8000,0.9631,0.3239,1579.0000,23.0557,0.3993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1063,0.0613,4488.0000,11.7752,7.0337,-0.0121,0.5700,0.6943,493.0000,1.1328,1.2703,0.8203,0.3664,1240.0000,31.0685,0.3437,NaN,NaN,NaN,NaN,Na
0.4289,0.0406,969.0000,13.4923,6.2282,NaN,NaN,NaN,NaN,NaN,-0.1579,26.0000,0.6070,0.2385,1420.0000,16.6359,2.4059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
0.0251,0.0583,1543.0000,18.1672,4.5099,-0.2740,0.1281,3064.0000,17.9840,3.9293,-0.0179,27.0000,0.6605,0.2865,1730.0000,16.8844,0.7456,-0.2668,0.0872,1764.0000,17.8226,4.4353,-0.4672,0.4568,1774.0000,18.2272,0.4372,-0.1988,0.0862,1976.0000,16.6452,6.4262,-0.0909,0.0359,1577.0000,13.1852,5.9430,-0.4164,0.5640,0.0711,395.0000,4559.0000,12.4530,1.8583,-0.6923,0.1899,2878.0000,17.2307,5.8301,-0.1600,0.5604,183.0000,0.9732,1.0315,0.1756,1920.0000,13.9271,0.6652,-0.4171,0.0740,3666.0000,11.8568,6.0082,0.9148,0.9313,0.4677,1.0278,0.9286,186.0000,2.6428,-0.3966,0.1817,5326.0000,13.1778,3.1436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
-0.1480,0.0182,771.0000,10.6031,3.2624,0.5083,0.0591,874.0000,20.0229,3.9676,-0.1732,25.0000,0.3450,0.1135,1071.0000,11.3324,2.8928,NaN,NaN,NaN,NaN,NaN,-0.3610,0.1681,1218.0000,11.9113,2.1462,0.0113,0.0295,1009.0000,12.5897,4.0808,NaN,NaN,NaN,NaN,NaN,-0.0476,0.5269,0.0899,629.0000,6017.0000,16.6477,1.1554,NaN,NaN,NaN,NaN,NaN,-0.0597,0.4865,297.0000,0.6078,0.9300,0.1935,1724.0000,18.6154,0.5379,NaN,NaN,NaN,NaN,NaN,0.4916,0.4660,0.5276,0.9460,1.1531,127.0000,3.2471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1276,0.4326,0.6944,215.0000,1.0713,1.0517,0.9164,0.1338,615.0000,21.9740,1.1287,NaN,NaN,NaN,NaN,Na
-0.4041,0.1181,1464.0000,27.3593,3.5259,-0.5237,0.1405,1903.0000,26.7346,3.0153,-0.1095,22.0000,0.4508,0.2256,1158.0000,16.0035,4.4474,-0.7546,0.1236,1575.0000,22.8070,3.7570,-0.1613,0.5892,1231.0000,32.3745,0.2851,-0.5422,0.0542,947.0000,19.9145,5.5986,-0.2378,0.0330,995.0000,15.3035,4.7491,0.0035,0.4286,0.0536,372.0000,3342.0000,12.7663,10.3040,-0.7399,0.1371,1571.0000,22.9637,4.9823,0.0170,0.4032,435.0000,0.5527,0.9553,0.2882,1465.0000,25.4648,0.2970,-0.1295,0.0472,2672.0000,10.6321,2.9178,0.8028,0.5400,0.5068,1.0057,1.2582,221.0000,3.0089,0.4715,0.1031,3836.0000,12.5266,3.3768,0.2554,0.0358,2410.0000,10.7386,4.4414,-0.0422,0.4825,0.7681,400.0000,3.6811,1.0613,0.9590,0.2720,1126.0000,29.3908,3.0265,NaN,NaN,NaN,NaN,Na
0.3658,0.0817,2888.0000,17.3220,5.3174,-0.0123,0.0901,2355.0000,19.0140,4.3739,0.0079,27.0000,0.4883,0.3336,1220.0000,22.6549,0.7398,0.2042,0.0872,1613.0000,22.6169,5.5377,0.2278,0.7473,957.0000,43.3406,0.1850,NaN,NaN,NaN,NaN,NaN,-0.8146,0.0561,1909.0000,11.4709,3.6147,0.1814,0.6577,0.0941,258.0000,5121.0000,17.4956,2.9083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
-0.4225,0.0473,2170.0000,13.0442,6.2311,0.1797,0.0992,3014.0000,16.2299,8.8507,-0.2212,27.0000,0.5036,0.3682,1296.0000,27.0208,0.5038,0.4481,0.0894,2415.0000,16.5209,7.7491,-0.3907,0.6611,929.0000,45.9031,0.1969,0.4656,0.0445,1427.0000,15.0119,7.4342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3335,0.5000,187.0000,0.7711,1.1337,0.1594,1738.0000,15.9695,0.9239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Na
