Metric,Assay,Description,Scale,Calculation
Circadian circling (1),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (1),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (1),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (1),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (1),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian circling (2),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (2),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (2),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (2),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (2),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Slow Phototaxis circling,Slow Phototaxis,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Slow Phototaxis nTrials,Slow Phototaxis,Number of 10 minute intervals where the fly moved out of the starting boundary zone,0 to 12 (max possible),sum[ trials ]
Slow Phototaxis occupancy,Slow Phototaxis,Fraction of time spent in the light,"0 to 1 (Dark = 0, Light = 1)",time_in_light / experiment_duration
Slow Phototaxis speed,Slow Phototaxis,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Slow Phototaxis nBouts,Slow Phototaxis,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Slow Phototaxis bout length,Slow Phototaxis,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Slow Phototaxis bout clumpiness,Slow Phototaxis,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian circling (3),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (3),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (3),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (3),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (3),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Arena circling,Arena,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Arena speed,Arena,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Arena nBouts,Arena,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Arena bout length,Arena,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Arena bout clumpiness,Arena,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian circling (4),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (4),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (4),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (4),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (4),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian circling (5),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (5),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (5),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (5),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (5),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Optomotor circling,Optomotor,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Optomotor optomotor index,Optomotor,Index of rotational motion with or against the rotational direction of the stimulus,"-1 to 1 (against = -1, with = 1)",2 * [ nframes_with - nframes_against ] / [ nframes_with + nframes_against ] - 1
Optomotor speed,Optomotor,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Optomotor nTrials,Optomotor,"Number of optomotor stimuli triggered by the animal (i.e. animal moving, away from arena, and minimum intertrial interval exceeded)",0 to 1200 (max possible),sum[ trials ]
Optomotor nBouts,Optomotor,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Optomotor bout length,Optomotor,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Optomotor bout clumpiness,Optomotor,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian circling (6),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (6),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (6),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (6),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (6),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Y-Maze circling,Y-Maze,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Y-Maze right bias,Y-Maze,Fraction of turns toward the right arm of the arena,"0 to 1 (Left = 0, Right = 1)",num_right_turns / num_total_turns
Y-Maze nTrials,Y-Maze,Total number of turns through the arena center,0 to inf,sum[ turns ]
Y-Maze hand clumpiness,Y-Maze,Score of the regularity or irregularity of timing between turns through the arena center,0 to inf,stddev[ interturn_interval ] / mean[ interturn_interval]
Y-Maze hand switchiness,Y-Maze,Score of the regularity or irregularity of alternating between left and right turns,0 to inf,num_switches / [ 2 * fraction_right * fraction_left * num_turns ]
Y-Maze speed,Y-Maze,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Y-Maze nBouts,Y-Maze,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Y-Maze bout length,Y-Maze,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Y-Maze bout clumpiness,Y-Maze,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
